date,idxSubject,idxCategory,idxCd,idxNm,share,value,qtyUnit,currency
2015-08-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,469,T,USD
2015-08-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,591,T,USD
2015-09-02,marketIdx,SCFI,EUNE,EU(Base port),0.2,763,T,USD
2015-09-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,588,T,USD
2015-09-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,456,T,USD
2015-09-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,313,T,USD
2015-10-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,259,T,USD
2015-10-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,233,T,USD
2015-10-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,231,T,USD
2015-10-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,988,T,USD
2015-11-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,674,T,USD
2015-11-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,409,T,USD
2015-11-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,295,T,USD
2015-11-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,554,T,USD
2015-12-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,275,T,USD
2015-12-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,703,T,USD
2015-12-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,558,T,USD
2015-12-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,573,T,USD
2015-12-31,marketIdx,SCFI,EUNE,EU(Base port),0.2,1232,T,USD
2016-01-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,932,T,USD
2016-01-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,740,T,USD
2016-01-22,marketIdx,SCFI,EUNE,EU(Base port),0.2,545,T,USD
2016-01-29,marketIdx,SCFI,EUNE,EU(Base port),0.2,469,T,USD
2016-02-05,marketIdx,SCFI,EUNE,EU(Base port),0.2,431,T,USD
2016-02-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,381.5,T,USD
2016-02-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,332,T,USD
2016-02-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,257,T,USD
2016-03-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,231,T,USD
2016-03-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,211,T,USD
2016-03-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,205,T,USD
2016-03-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,247,T,USD
